12300 elements of T-matrix
s sp m mp n np Tr Ti 
1 1 0 0 8 22 -2.50977417397303e-11 4.32316009984499e-10
1 1 0 0 8 24 -1.0240878891249e-12 1.78068456951868e-11
1 1 0 0 10 2 4.43624736908626e-06 -0.000182536982741486
1 1 0 0 10 4 -7.11307286729368e-05 0.000533007047113076
1 1 0 0 10 6 -0.000104923208460783 0.00133472545461193
1 1 0 0 10 8 -5.82105331719223e-05 0.00086578821497335
1 1 0 0 10 10 -1.75328904844054e-05 0.00028130833749564
1 1 0 0 10 12 -3.36607997194987e-06 5.64734205585881e-05
1 1 0 0 10 14 -4.51580465064728e-07 7.80347405782092e-06
1 1 0 0 10 16 -4.49704363419021e-08 7.93475803398776e-07
1 1 0 0 10 18 -3.46774011982638e-09 6.21234294846993e-08
1 1 0 0 10 20 -2.13485414533537e-10 3.87139529161724e-09
1 1 0 0 10 22 -1.07573716069229e-11 1.96992041352081e-10
1 1 0 0 10 24 -4.52408876580882e-13 8.34963019028322e-12
1 1 0 0 12 2 1.95105261308782e-06 -3.03840083254152e-05
1 1 0 0 12 4 -7.67610102724441e-06 4.55911764531307e-05
1 1 0 0 12 6 -1.58085413410661e-05 0.000208927629510712
1 1 0 0 12 8 -1.0170065261975e-05 0.000158569005430234
1 1 0 0 12 10 -3.36606867102762e-06 5.64739158475806e-05
1 1 0 0 12 12 -6.91685414314627e-07 1.20931617921901e-05
1 1 0 0 12 14 -9.77748058385679e-08 1.75531899086287e-06
1 1 0 0 12 16 -1.01502549332265e-08 1.85649532161299e-07
1 1 0 0 12 18 -8.1053907483697e-10 1.50147464536333e-08
1 1 0 0 12 20 -5.13783008753316e-11 9.61176477976388e-10
1 1 0 0 12 22 -2.651449448142e-12 5.00312864892181e-11
1 1 0 0 12 24 -1.13824084215812e-13 2.16255520761248e-12
1 1 0 0 14 2 2.7542755588917e-07 -3.19779034463291e-06
1 1 0 0 14 4 -5.99912693646206e-07 2.03558207798175e-06
1 1 0 0 14 6 -1.74489878700314e-06 2.36853356304147e-05
1 1 0 0 14 8 -1.26719961144787e-06 2.04155574452736e-05
1 1 0 0 14 10 -4.51382615469548e-07 7.8032601947772e-06
1 1 0 0 14 12 -9.77176938606451e-08 1.75524531795791e-06
1 1 0 0 14 14 -1.43764690324041e-08 2.64514838614314e-07
1 1 0 0 14 16 -1.54035541481412e-09 2.8828919604523e-08
1 1 0 0 14 18 -1.2628055351009e-10 2.3911492778554e-09
1 1 0 0 14 20 -8.19668087174877e-12 1.56320588545655e-10
1 1 0 0 14 22 -4.31002389148552e-13 8.27825037355015e-12
1 1 0 0 14 24 -1.87822866354868e-14 3.63181058354581e-13
1 1 0 0 16 2 2.51601346869793e-08 -2.41589342720951e-07
1 1 0 0 16 4 -3.46435703147892e-08 -3.34990041578045e-08
1 1 0 0 16 6 -1.47318154122015e-07 2.04424882974893e-06
1 1 0 0 16 8 -1.18261607457421e-07 1.95948515224095e-06
1 1 0 0 16 10 -4.4647974823883e-08 7.92488475208475e-07
1 1 0 0 16 12 -1.0068702773358e-08 1.85374923530403e-07
1 1 0 0 16 14 -1.52836181995744e-09 2.87841968765724e-08
1 1 0 0 16 16 -1.67900012782961e-10 3.21301705648242e-09
1 1 0 0 16 18 -1.4033536191599e-11 2.71966060566985e-10
1 1 0 0 16 20 -9.28454235030164e-13 1.81027641424746e-11
1 1 0 0 16 22 -4.96837083081285e-14 9.72391799111486e-13
1 1 0 0 16 24 -2.1905012753106e-15 4.31518978004315e-14
1 1 0 0 18 2 1.69107738411604e-09 -1.38349702752829e-08
1 1 0 0 18 4 -1.49882805667545e-09 -1.35804844191226e-08
1 1 0 0 18 6 -9.66679770431863e-09 1.38538028774876e-07
1 1 0 0 18 8 -8.38480783152743e-09 1.45212442733673e-07
1 1 0 0 18 10 -3.30584854987144e-09 6.14776181279361e-08
1 1 0 0 18 12 -7.68403772639998e-10 1.48412961211269e-08
1 1 0 0 18 14 -1.19363480076577e-10 2.36080431555686e-09
1 1 0 0 18 16 -1.33625485241837e-11 2.6866270779941e-10
1 1 0 0 18 18 -1.13277784654212e-12 2.31040752678327e-11
1 1 0 0 18 20 -7.57731646458285e-14 1.56212014756391e-12
1 1 0 0 18 22 -4.12346202080087e-15 8.5073208762612e-14
1 1 0 0 18 24 -1.84088635312807e-16 3.8099170746423e-15
1 1 0 0 20 2 8.57416729724125e-11 -6.10020582403474e-10
1 1 0 0 20 4 -5.35466163927526e-11 -1.19576771296977e-09
1 1 0 0 20 6 -4.72533152144183e-10 7.36899545477417e-09
1 1 0 0 20 8 -4.26995466356055e-10 8.30758743148087e-09
1 1 0 0 20 10 -1.72290459746909e-10 3.64580109325343e-09
1 1 0 0 20 12 -4.0711355517556e-11 9.02099348793515e-10
1 1 0 0 20 14 -6.40513610284849e-12 1.46232417406499e-10
1 1 0 0 20 16 -7.24451300698286e-13 1.68970606011298e-11
1 1 0 0 20 18 -6.20174333922277e-14 1.47031873865117e-12
1 1 0 0 20 20 -4.15665810909681e-15 1.00501364417335e-13
1 1 0 0 20 22 -2.27784022997376e-16 5.5541706229191e-15
1 1 0 0 20 24 -1.03644333679744e-17 2.51317728195486e-16
1 1 0 0 22 2 3.03233427222626e-12 -1.96204597502102e-11
1 1 0 0 22 4 -2.08393854348982e-12 -5.93745259043981e-11
1 1 0 0 22 6 -1.45097212886754e-11 2.8409887520442e-10
1 1 0 0 22 8 -1.26677269123808e-11 3.38098585849059e-10
1 1 0 0 22 10 -5.0307797458435e-12 1.52269279006571e-10
1 1 0 0 22 12 -1.17759716800233e-12 3.83495551468989e-11
1 1 0 0 22 14 -1.84070334678512e-13 6.30144625638996e-12
1 1 0 0 22 16 -2.07155576711664e-14 7.36162149247354e-13
1 1 0 0 22 18 -1.7660642523162e-15 6.4646632974339e-14
1 1 0 0 22 20 -1.18341952869408e-16 4.4390047004585e-15
1 1 0 0 22 22 -6.34471181530379e-18 2.4793555336227e-16
1 1 0 0 22 24 -2.94658263232076e-19 1.14256691908088e-17
1 1 0 0 24 2 5.53849020640304e-14 -3.53057187878254e-13
1 1 0 0 24 4 -6.80833926305412e-14 -1.41346922592232e-12
1 1 0 0 24 6 -1.6792639388039e-13 5.9130464795851e-12
1 1 0 0 24 8 -1.03097160886164e-13 7.29060208142706e-12
1 1 0 0 24 10 -3.171960124843e-14 3.33853045083745e-12
1 1 0 0 24 12 -5.97180565771905e-15 8.50423239817018e-13
1 1 0 0 24 14 -7.62130303043715e-16 1.40962376835451e-13
1 1 0 0 24 16 -7.02129315689026e-17 1.65848552530596e-14
1 1 0 0 24 18 -4.86761599268156e-18 1.46507822881527e-15
1 1 0 0 24 20 -2.61146869272013e-19 1.0110824591784e-16
1 1 0 0 24 22 -1.10727320516386e-20 5.61675596132154e-18
1 1 0 0 24 24 -1.95158495313973e-22 2.67294320338333e-19
1 2 0 0 1 2 0 0
1 2 0 0 1 4 0 0
1 2 0 0 1 6 0 0
1 2 0 0 1 8 0 0
1 2 0 0 1 10 0 0
1 2 0 0 1 12 0 0
1 2 0 0 1 14 0 0
1 2 0 0 1 16 0 0
1 2 0 0 1 18 0 0
1 2 0 0 1 20 0 0
1 2 0 0 1 22 0 0
1 2 0 0 1 24 0 0
1 2 0 0 3 2 0 0
1 2 0 0 3 4 0 0
1 2 0 0 3 6 0 0
1 2 0 0 3 8 0 0
1 2 0 0 3 10 0 0
1 2 0 0 3 12 0 0
1 2 0 0 3 14 0 0
1 2 0 0 3 16 0 0
1 2 0 0 3 18 0 0
1 2 0 0 3 20 0 0
1 2 0 0 3 22 0 0
1 2 0 0 3 24 0 0
1 2 0 0 5 2 0 0
1 2 0 0 5 4 0 0
1 2 0 0 5 6 0 0
1 2 0 0 5 8 0 0
1 2 0 0 5 10 0 0
1 2 0 0 5 12 0 0
1 2 0 0 5 14 0 0
1 2 0 0 5 16 0 0
1 2 0 0 5 18 0 0
1 2 0 0 5 20 0 0
1 2 0 0 5 22 0 0
1 2 0 0 5 24 0 0
1 2 0 0 7 2 0 0
1 2 0 0 7 4 0 0
1 2 0 0 7 6 0 0
1 2 0 0 7 8 0 0
1 2 0 0 7 10 0 0
1 2 0 0 7 12 0 0
1 2 0 0 7 14 0 0
1 2 0 0 7 16 0 0
1 2 0 0 7 18 0 0
1 2 0 0 7 20 0 0
1 2 0 0 7 22 0 0
1 2 0 0 7 24 0 0
1 2 0 0 9 2 0 0
1 2 0 0 9 4 0 0
1 2 0 0 9 6 0 0
1 2 0 0 9 8 0 0
1 2 0 0 9 10 0 0
1 2 0 0 9 12 0 0
1 2 0 0 9 14 0 0
1 2 0 0 9 16 0 0
1 2 0 0 9 18 0 0
1 2 0 0 9 20 0 0
1 2 0 0 9 22 0 0
1 2 0 0 9 24 0 0
1 2 0 0 11 2 0 0
1 2 0 0 11 4 0 0
1 2 0 0 11 6 0 0
1 2 0 0 11 8 0 0
1 2 0 0 11 10 0 0
1 2 0 0 11 12 0 0
1 2 0 0 11 14 0 0
1 2 0 0 11 16 0 0
1 2 0 0 11 18 0 0
1 2 0 0 11 20 0 0
1 2 0 0 11 22 0 0
1 2 0 0 11 24 0 0
1 2 0 0 13 2 0 0
1 2 0 0 13 4 0 0
1 2 0 0 13 6 0 0
1 2 0 0 13 8 0 0
1 2 0 0 13 10 0 0
1 2 0 0 13 12 0 0
1 2 0 0 13 14 0 0
1 2 0 0 13 16 0 0
1 2 0 0 13 18 0 0
1 2 0 0 13 20 0 0
1 2 0 0 13 22 0 0
1 2 0 0 13 24 0 0
1 2 0 0 15 2 0 0
1 2 0 0 15 4 0 0
1 2 0 0 15 6 0 0
1 2 0 0 15 8 0 0
1 2 0 0 15 10 0 0
1 2 0 0 15 12 0 0
1 2 0 0 15 14 0 0
1 2 0 0 15 16 0 0
1 2 0 0 15 18 0 0
1 2 0 0 15 20 0 0
1 2 0 0 15 22 0 0
1 2 0 0 15 24 0 0
1 2 0 0 17 2 0 0
1 2 0 0 17 4 0 0
1 2 0 0 17 6 0 0
1 2 0 0 17 8 0 0
1 2 0 0 17 10 0 0
1 2 0 0 17 12 0 0
1 2 0 0 17 14 0 0
1 2 0 0 17 16 0 0
1 2 0 0 17 18 0 0
1 2 0 0 17 20 0 0
1 2 0 0 17 22 0 0
1 2 0 0 17 24 0 0
1 2 0 0 19 2 0 0
1 2 0 0 19 4 0 0
1 2 0 0 19 6 0 0
1 2 0 0 19 8 0 0
1 2 0 0 19 10 0 0
1 2 0 0 19 12 0 0
1 2 0 0 19 14 0 0
1 2 0 0 19 16 0 0
1 2 0 0 19 18 0 0
1 2 0 0 19 20 0 0
1 2 0 0 19 22 0 0
1 2 0 0 19 24 0 0
1 2 0 0 21 2 0 0
1 2 0 0 21 4 0 0
1 2 0 0 21 6 0 0
1 2 0 0 21 8 0 0
1 2 0 0 21 10 0 0
1 2 0 0 21 12 0 0
1 2 0 0 21 14 0 0
1 2 0 0 21 16 0 0
1 2 0 0 21 18 0 0
1 2 0 0 21 20 0 0
1 2 0 0 21 22 0 0
1 2 0 0 21 24 0 0
1 2 0 0 23 2 0 0
1 2 0 0 23 4 0 0
1 2 0 0 23 6 0 0
1 2 0 0 23 8 0 0
1 2 0 0 23 10 0 0
1 2 0 0 23 12 0 0
1 2 0 0 23 14 0 0
1 2 0 0 23 16 0 0
1 2 0 0 23 18 0 0
1 2 0 0 23 20 0 0
1 2 0 0 23 22 0 0
1 2 0 0 23 24 0 0
1 2 0 0 25 2 0 0
1 2 0 0 25 4 0 0
1 2 0 0 25 6 0 0
1 2 0 0 25 8 0 0
1 2 0 0 25 10 0 0
1 2 0 0 25 12 0 0
1 2 0 0 25 14 0 0
1 2 0 0 25 16 0 0
1 2 0 0 25 18 0 0
1 2 0 0 25 20 0 0
1 2 0 0 25 22 0 0
1 2 0 0 25 24 0 0
1 2 0 0 2 1 0 0
1 2 0 0 2 3 0 0
1 2 0 0 2 5 0 0
1 2 0 0 2 7 0 0
1 2 0 0 2 9 0 0
1 2 0 0 2 11 0 0
1 2 0 0 2 13 0 0
1 2 0 0 2 15 0 0
1 2 0 0 2 17 0 0
1 2 0 0 2 19 0 0
1 2 0 0 2 21 0 0
1 2 0 0 2 23 0 0
1 2 0 0 2 25 0 0
1 2 0 0 4 1 0 0
1 2 0 0 4 3 0 0
1 2 0 0 4 5 0 0
1 2 0 0 4 7 0 0
1 2 0 0 4 9 0 0
1 2 0 0 4 11 0 0
1 2 0 0 4 13 0 0
1 2 0 0 4 15 0 0
1 2 0 0 4 17 0 0
1 2 0 0 4 19 0 0
1 2 0 0 4 21 0 0
1 2 0 0 4 23 0 0
1 2 0 0 4 25 0 0
1 2 0 0 6 1 0 0
1 2 0 0 6 3 0 0
1 2 0 0 6 5 0 0
1 2 0 0 6 7 0 0
1 2 0 0 6 9 0 0
1 2 0 0 6 11 0 0
1 2 0 0 6 13 0 0
1 2 0 0 6 15 0 0
1 2 0 0 6 17 0 0
1 2 0 0 6 19 0 0
1 2 0 0 6 21 0 0
1 2 0 0 6 23 0 0
1 2 0 0 6 25 0 0
1 2 0 0 8 1 0 0
